#;Projeto;Família;Descrição da Obra;Data;Status;Tipo Intervenção;PowerON;Equipamentos;Início;Fim;Contratada;Responsável;Longitude;Latitude
1;DAC/A.LES.25.00723;DAC;Ligação Nova;27/05/2026;Cancelado;FI;16235175;356ET052591;10:00;13:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
2;DMP/A.LES.25.04129;DMP;Reforma de Rede Secundaria RTRI;27/05/2026;Executado;FI;16200998;356ET055935;09:30;12:30;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
3;DMP/A.LES.25.05795;DMP;Reforma de Rede Secundaria RTRI;27/05/2026;Executado;FI;16201080;356ET027458;10:00;13:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
4;DAC/A.LES.25.01193;DAC;Ligação Nova;27/05/2026;Executado;PIE;16211084;353ET010105;00:30;04:30;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
5;DMP/A.LES.25.02499;DMP;Reforma de Rede Secundaria RTRI;27/05/2026;Executado Parcial;FI;16201701;356ET160603;10:30;14:30;Engelmig (Área 11) NEC e UPS;Técnico Enel Gilmar Campos;Não informado;Não informado
6;DAC/A.LES.26.00347;DAC;Alteração de Carga;27/05/2026;Executado Parcial;FI;16212244;353ET042932;10:00;14:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
7;DAC/A.LES.26.00199;DAC;Ligação Nova;27/05/2026;Executado Parcial;FI;16200965;353ET065828;10:00;14:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
8;DAC/A.LES.25.01238;DAC;Ligação Nova;27/05/2026;Executado;FI;16188499;010ET080957;10:00;14:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
9;DAC/A.LES.26.00622;DAC;Alteração de Carga;27/05/2026;Executado;FI;16201235;356ET161341;14:00;17:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
10;DAC/A.LES.26.00082;DAC;Ligação Nova;27/05/2026;Executado;FI;16205972;353ET006176;10:00;14:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
11;DAC/A.LES.26.00345;DAC;Ligação Nova;27/05/2026;Executado;FI;16188581;010ET002644;10:00;14:00;Start Engenharia (Área 8B, 9 e 11) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
12;DAC/A.NOR.26.00016;DAC;Ligação Nova;27/05/2026;Executado Parcial;FI;16200972;354ET011769;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
13;DAC/A.NOR.26.00290;DAC;Alteração de Carga;27/05/2026;Executado;FI;16201647;351ET058130;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
14;DAC/A.NOR.25.01627;DAC;Ligação Nova;27/05/2026;Executado;FI;16200236;251EP006743;10:00;13:00;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
15;DAC/A.NOR.26.00119;DAC;Alteração de Carga;27/05/2026;Executado;FI;16200240;252ET008929;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
16;DMP/A.NOR.25.01398;DMP;Religador Automático;27/05/2026;Executado;FI;16201231;ET-021770;10:00;14:00;Conecta Elicord NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
17;DAC/A.NOR.25.01568;DAC;Ligação Provisória;27/05/2026;Cancelado;FI;16200523;257ET072735;10:30;14:30;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
18;DAC/A.NOR.25.01616;DAC;Ligação Nova;27/05/2026;Executado;FI;16201983;ET-044173;10:30;14:30;Conecta Obras (Área 4 e 5) NEC;Técnico Enel Gilmar Campos;Não informado;Não informado
